2014-07-20 16:15:40,918 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:15:50,289 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:50,290 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:15:50,291 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:15:50,292 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:16:06,069 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:06,069 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:16:06,071 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:06,071 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:16:12,361 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:12,362 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:16:12,364 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:12,365 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:16:17,770 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:17,771 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:16:17,773 [Worker-13] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:17,774 [Worker-13] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:16:37,530 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:37,531 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:16:37,532 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:37,533 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:16:59,668 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:59,670 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2014-07-20 16:16:59,675 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:16:59,675 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/hasher/Desktop/CommentsSatck/src/test/resources
2014-07-20 16:17:39,877 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-07-20 16:17:39,877 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
